Day,Month,Year,Value
22,June,2009,-0.07266
29,June,2009,0.149375
05,July,2009,-0.127793
12,July,2009,0.006144
19,July,2009,0.242229
27,July,2009,0.42121
03,August,2009,-0.019647
10,August,2009,0.014468
16,August,2009,-0.23721
23,August,2009,-0.342227
31,August,2009,-0.302881
07,September,2009,-0.371401
14,September,2009,-0.260333
20,September,2009,-0.36373
27,September,2009,-0.510504
04,October,2009,-0.296628
12,October,2009,-0.250983
19,October,2009,-0.23225
26,October,2009,-0.073477
01,November,2009,0.367729
08,November,2009,0.392767
15,November,2009,-0.0842
23,November,2009,-0.470846
30,November,2009,-0.635307
06,December,2009,-0.498563
13,December,2009,-0.2967
20,December,2009,-0.056961
28,December,2009,0.061275
04,January,2010,-0.388848
11,January,2010,-0.515105
17,January,2010,-0.391772
24,January,2010,-0.113171
31,January,2010,-0.014519
08,February,2010,0.33819
15,February,2010,0.647365
22,February,2010,0.678463
28,February,2010,0.765147
07,March,2010,0.669896
15,March,2010,0.487105
22,March,2010,0.170553
29,March,2010,-0.024363
04,April,2010,0.276543
11,April,2010,0.107043
18,April,2010,-0.084025
26,April,2010,-0.177954
03,May,2010,0.456329
10,May,2010,0.293531
16,May,2010,-0.058332
23,May,2010,-0.313761
30,May,2010,-0.154065
07,June,2010,0.213894
14,June,2010,0.403843
21,June,2010,0.523732
27,June,2010,0.708363
04,July,2010,0.213283
12,July,2010,0.024949
19,July,2010,0.009095
26,July,2010,0.056486
01,August,2010,-0.505657
08,August,2010,-0.56432
15,August,2010,-0.66613
23,August,2010,-0.930102
30,August,2010,-1.157731
06,September,2010,-1.279349
12,September,2010,-1.211742
19,September,2010,-1.343755
26,September,2010,-1.57212
04,October,2010,-1.872977
11,October,2010,-2.088855
17,October,2010,-2.27512
24,October,2010,-2.22851
31,October,2010,-1.836741
08,November,2010,-1.984545
15,November,2010,-2.068461
22,November,2010,-2.18311
28,November,2010,-2.363107
05,December,2010,-2.555343
12,December,2010,-2.588832
20,December,2010,-2.623029
27,December,2010,-2.695843
03,January,2011,-3.182758
09,January,2011,-3.296357
16,January,2011,-3.169202
24,January,2011,-2.751856
31,January,2011,-2.278139
07,February,2011,-2.549751
13,February,2011,-2.434289
20,February,2011,-2.259607
27,February,2011,-2.072744
07,March,2011,-1.951857
14,March,2011,-1.959994
21,March,2011,-2.138279
27,March,2011,-2.087916
03,April,2011,-1.605329
10,April,2011,-1.656143
18,April,2011,-1.528222
25,April,2011,-1.413778
01,May,2011,-1.099815
08,May,2011,-1.16818
15,May,2011,-1.178422
23,May,2011,-0.978624
30,May,2011,-0.784895
06,June,2011,-0.534042
12,June,2011,-0.301019
19,June,2011,-0.046197
26,June,2011,0.062549
04,July,2011,-0.133001
11,July,2011,-0.315453
18,July,2011,-0.408296
24,July,2011,-0.17024
31,July,2011,-0.412096
07,August,2011,-0.071436
15,August,2011,0.0909
22,August,2011,0.269571
28,August,2011,0.436848
04,September,2011,0.481409
11,September,2011,0.592996
19,September,2011,0.560028
26,September,2011,0.518419
03,October,2011,0.605344
09,October,2011,0.360913
16,October,2011,0.418606
23,October,2011,0.496763
31,October,2011,0.370838
07,November,2011,0.580446
14,November,2011,0.595429
20,November,2011,0.652231
27,November,2011,0.625567
05,December,2011,0.411713
12,December,2011,0.01843
19,December,2011,-0.161756
25,December,2011,-0.480282
01,January,2012,-1.1236
08,January,2012,-1.17553
15,January,2012,-1.031158
23,January,2012,-0.790055
30,January,2012,-0.591419
06,February,2012,-0.81896
12,February,2012,-0.432319
19,February,2012,-0.448393
26,February,2012,-0.533699
05,March,2012,-0.666421
12,March,2012,-1.050734
19,March,2012,-1.461676
25,March,2012,-1.572156
01,April,2012,-1.032092
08,April,2012,-0.926366
16,April,2012,-0.886145
23,April,2012,-0.935686
30,April,2012,-1.303517
06,May,2012,-0.787409
13,May,2012,-0.839181
20,May,2012,-0.80181
28,May,2012,-0.744104
04,June,2012,-0.720356
11,June,2012,-0.696357
17,June,2012,-0.671224
24,June,2012,-0.414466
02,July,2012,-0.420817
09,July,2012,-0.226394
16,July,2012,-0.157646
22,July,2012,-0.132794
29,July,2012,-0.041925
05,August,2012,-0.367035
13,August,2012,-0.075517
20,August,2012,0.185519
27,August,2012,0.22479
02,September,2012,0.136897
09,September,2012,0.132689
16,September,2012,0.124444
24,September,2012,0.178022
01,October,2012,0.250589
08,October,2012,0.101342
14,October,2012,-0.145723
21,October,2012,-0.154649
28,October,2012,-0.216059
05,November,2012,-0.068799
12,November,2012,-0.083643
19,November,2012,-0.241044
25,November,2012,-0.346956
02,December,2012,-0.517356
09,December,2012,-0.508393
17,December,2012,-0.324333
24,December,2012,-0.294916
31,December,2012,-0.608312
07,January,2013,-1.332747
13,January,2013,-1.541485
20,January,2013,-1.399256
27,January,2013,-1.057486
04,February,2013,-1.076014
11,February,2013,-0.818643
17,February,2013,-0.67471
24,February,2013,-0.562871
03,March,2013,-0.704097
11,March,2013,-0.652912
18,March,2013,-0.510294
25,March,2013,-0.358353
07,April,2013,-0.673457
14,April,2013,-0.851822
22,April,2013,-0.750573
29,April,2013,-0.969935
06,May,2013,-0.736155
12,May,2013,-1.14831
19,May,2013,-1.724461
27,May,2013,-1.657587
03,June,2013,-1.168178
10,June,2013,-0.889291
16,June,2013,-0.75827
23,June,2013,-0.678665
30,June,2013,-0.909862
08,July,2013,-0.780119
15,July,2013,-0.616671
22,July,2013,-0.352396
28,July,2013,-0.22133
04,August,2013,-0.673998
11,August,2013,-0.792
19,August,2013,-0.891778
26,August,2013,-0.808701
02,September,2013,-0.945088
15,September,2013,-1.327441
23,September,2013,-1.285304
30,September,2013,-1.348677
07,October,2013,-1.111007
13,October,2013,-0.945042
20,October,2013,-0.871592
27,October,2013,-0.860476
04,November,2013,-0.402803
11,November,2013,-0.287076
18,November,2013,-0.073267
24,November,2013,-0.046591
01,December,2013,-0.033809
08,December,2013,-0.131623
16,December,2013,-0.429123
