Day,Month,Year,Value
18,April,2011,-0.752525
25,April,2011,-0.68191
01,May,2011,-0.624726
08,May,2011,-0.534448
15,May,2011,-0.442225
23,May,2011,-0.379443
30,May,2011,-0.382794
06,June,2011,-0.554854
12,June,2011,-0.504345
19,June,2011,-0.399526
26,June,2011,-0.309842
04,July,2011,-0.491285
11,July,2011,-0.456516
18,July,2011,-0.486707
24,July,2011,-0.498043
31,July,2011,-0.670375
07,August,2011,-0.637648
15,August,2011,-0.568707
22,August,2011,-0.56635
28,August,2011,-0.524291
04,September,2011,-0.652378
11,September,2011,-0.808195
19,September,2011,-0.897136
26,September,2011,-0.982244
03,October,2011,-1.0481
09,October,2011,-1.048848
16,October,2011,-1.004197
23,October,2011,-0.983123
31,October,2011,-1.027811
07,November,2011,-1.023341
14,November,2011,-1.027053
20,November,2011,-0.997296
27,November,2011,-1.031921
05,December,2011,-1.044741
12,December,2011,-1.188093
19,December,2011,-1.319484
25,December,2011,-1.427763
01,January,2012,-1.372083
08,January,2012,-1.364126
15,January,2012,-1.361816
23,January,2012,-1.477424
30,January,2012,-1.555758
06,February,2012,-1.334288
12,February,2012,-1.361207
19,February,2012,-1.415305
26,February,2012,-1.417077
05,March,2012,-1.282408
12,March,2012,-1.345631
19,March,2012,-1.332149
25,March,2012,-1.160813
01,April,2012,-0.976144
08,April,2012,-0.913894
16,April,2012,-0.795222
23,April,2012,-0.808734
30,April,2012,-0.76836
06,May,2012,-0.720027
13,May,2012,-0.81998
20,May,2012,-0.754659
28,May,2012,-0.587082
04,June,2012,-0.752068
11,June,2012,-0.683654
17,June,2012,-0.495098
24,June,2012,-0.411254
02,July,2012,-0.530271
09,July,2012,-0.471389
16,July,2012,-0.393011
22,July,2012,-0.31175
29,July,2012,-0.212685
05,August,2012,-0.261607
13,August,2012,-0.170229
20,August,2012,-0.138392
27,August,2012,-0.214717
02,September,2012,-0.242221
09,September,2012,-0.228231
16,September,2012,-0.203052
24,September,2012,-0.134825
01,October,2012,0.040061
08,October,2012,0.007973
14,October,2012,-0.090571
21,October,2012,-0.130873
28,October,2012,-0.233262
05,November,2012,-0.183921
12,November,2012,-0.138133
19,November,2012,-0.235757
25,November,2012,-0.275383
02,December,2012,-0.316629
09,December,2012,-0.418238
17,December,2012,-0.433813
24,December,2012,-0.452653
31,December,2012,-0.561807
07,January,2013,-0.54494
13,January,2013,-0.661281
20,January,2013,-0.647226
27,January,2013,-0.599088
04,February,2013,-0.390423
11,February,2013,-0.449649
17,February,2013,-0.606314
24,February,2013,-0.73515
03,March,2013,-0.593175
11,March,2013,-0.576577
18,March,2013,-0.668941
25,March,2013,-0.627522
07,April,2013,-0.645114
14,April,2013,-0.678317
22,April,2013,-0.646076
29,April,2013,-0.707201
06,May,2013,-0.798055
12,May,2013,-0.85837
19,May,2013,-0.876341
27,May,2013,-0.766092
03,June,2013,-0.827236
10,June,2013,-0.761843
16,June,2013,-0.79733
23,June,2013,-0.638211
30,June,2013,-0.732108
08,July,2013,-0.636405
15,July,2013,-0.600207
22,July,2013,-0.567393
28,July,2013,-0.481633
04,August,2013,-0.534139
11,August,2013,-0.607633
19,August,2013,-0.588735
26,August,2013,-0.504949
02,September,2013,-0.45022
15,September,2013,-0.552386
23,September,2013,-0.531658
30,September,2013,-0.523898
07,October,2013,-0.471096
13,October,2013,-0.440748
20,October,2013,-0.329951
27,October,2013,-0.268689
04,November,2013,-0.165933
11,November,2013,-0.099239
18,November,2013,-0.107405
24,November,2013,-0.300233
01,December,2013,-0.271957
08,December,2013,-0.339915
16,December,2013,-0.38234
23,December,2013,-0.448991
29,December,2013,-0.507722
05,January,2014,-0.433217
12,January,2014,-0.390568
20,January,2014,-0.366644
27,January,2014,-0.312573
03,February,2014,-0.10704
09,February,2014,-0.099973
16,February,2014,-0.041546
23,February,2014,0.164165
03,March,2014,0.467817
10,March,2014,0.599056
17,March,2014,0.684069
