Decimal Year,Value
2012.7868852,-0.145723
2012.8060109,-0.154649
2012.8251366,-0.216059
2012.8442623,-0.068799
2012.863388,-0.083643
2012.8825137,-0.241044
2012.9016393,-0.346956
2012.920765,-0.517356
2012.9398907,-0.508393
2012.9590164,-0.324333
2012.9781421,-0.294916
2012.9972678,-0.608312
2013.0164384,-1.332747
2013.0356164,-1.541485
2013.0547945,-1.399256
2013.0739726,-1.057486
2013.0931507,-1.076014
2013.1123288,-0.818643
2013.1315068,-0.67471
2013.1506849,-0.562871
2013.169863,-0.704097
2013.1890411,-0.652912
2013.2082192,-0.510294
2013.2273973,-0.358353
2013.2657534,-0.673457
2013.2849315,-0.851822
2013.3041096,-0.750573
2013.3232877,-0.969935
2013.3424658,-0.736155
2013.3616438,-1.14831
2013.3808219,-1.724461
2013.4,-1.657587
2013.4191781,-1.168178
2013.4383562,-0.889291
2013.4575342,-0.75827
2013.4767123,-0.678665
2013.4958904,-0.909862
2013.5150685,-0.780119
2013.5342466,-0.616671
2013.5534247,-0.352396
2013.5726027,-0.22133
2013.5917808,-0.673998
2013.6109589,-0.792
2013.630137,-0.891778
2013.6493151,-0.808701
2013.6684932,-0.945088
2013.7068493,-1.327441
2013.7260274,-1.285304
2013.7452055,-1.348677
2013.7643836,-1.111007
2013.7835616,-0.945042
2013.8027397,-0.871592
2013.8219178,-0.860476
2013.8410959,-0.402803
2013.860274,-0.287076
2013.8794521,-0.073267
2013.8986301,-0.046591
2013.9178082,-0.033809
2013.9369863,-0.131623
2013.9561644,-0.429123
2013.9753425,-0.588583
2013.9945205,-0.404661
2014.0136986,-0.542931
2014.0328767,-0.284453
2014.0520548,-0.033376
2014.0712329,0.178066
2014.090411,-0.006052
2014.109589,0.138643
2014.1287671,0.183588
2014.1479452,0.222894
2014.1671233,0.406634
