Year,Month,Reef Name,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,DHW_from_90th_HS>1,Salinity,pH_total,pCO2,fCO2,IOD,ENSO,Bleaching,Genera
2005,7,Andaman & Nicobar Islands,27.82,29.8,28.988387096774193,0.7496967741935484,3.1143,32.9112301875,8.07387134375,356.517976875,355.43296,-0.319384,0.058920600000000004,0.0,"Acropora, Montipora, Pocillopora, Porites, Favia, Favites, Goniopora, Platygyra, Goniastrea, Leptastrea, Turbinaria, Coscinaraea, Dipsastraea, Symphyllia, Merulina, Oulophyllia, Pseudosiderastrea, Dendrophyllia, Lobophyllia, Echinopora, Gardineroseris, Stylophora, Astreopora, Seriatopora, Hydnophora, Leptoria, Cyphastrea, Pachyseris, Pavona, Psammocora, Fungia, Podobacia, Euphyllia, Galaxea, Alveopora, Caryophyllia, Siderastrea, Gardineroseris, Dipsastraea, Isopora, Heliopora, Diploastrea, Pavona clavus, Podabacia, Gardineroseris planulata, Pachyseris rugosa, Mycedium, Oulastrea crispata, Coeloseris mayeri, Leptoseris, Pectinia, Diploastrea heliopora, Echinophyllia, Cantharellus"
2005,7,Gulf of Kachchh,26.51,29.2,28.341290322580647,0.11478064516129032,0.9329,36.557266,8.039254,417.9351,416.65433,-0.319384,0.058920600000000004,0.0,"Montipora, Coscinaria, Hydnophora, Turbinaria, Goniastrea, Platygyra, Cyphastrea, Porites, Goniopora, Siderastrea, Acanthastrea, Favia, Favites, Leptastrea, Pseudosiderastrea, Symphyllia, Merulina, Oulophyllia, Pachyseris, Echinopora"
2005,7,Gulf of Mannar,24.42,30.2,29.337419354838712,0.6581483870967741,0.6629,34.675198,8.034088,412.39542,411.11786,-0.319384,0.058920600000000004,0.0,"Montipora, Acropora, Pocillopora, Porites, Favites, Favia, Goniopora, Platygyra, Goniastrea, Leptastrea, Turbinaria, Pseudosiderastrea, Symphyllia, Merulina, Oulophyllia, Dipsastraea, Echinopora, Lobophyllia, Gardineroseris, Stylophora, Astreopora, Seriatopora, Hydnophora, Leptoria, Cyphastrea, Pachyseris, Dendrophyllia"
2005,7,Lakshadweep,26.79,28.63,28.00258064516129,0.09532258064516129,0.64,35.490487375,8.076379291666667,370.20047875,369.06572166666666,-0.319384,0.058920600000000004,0.0,"Acropora, Pocillopora, Euphyllia, Galaxea, Psammocora, Pavona, Fungia, Podobacia, Hydnophora, Favites, Goniastrea, Platygyra, Leptastrea, Porites, Alveopora, Montipora, Acanthastrea, Dipsastraea, Coscinaraea, Symphyllia, Dendrophyllia, Oulophyllia, Lobophyllia, Echinopora, Plesiastrea, Gardineroseris, Stylophora, Astreopora, Seriatopora, Merulina, Pachyseris, Leptoria, Cyphastrea"
2005,8,Andaman & Nicobar Islands,27.67,29.5,28.648709677419355,0.6634032258064516,0.0,32.970071250000004,8.0779615625,352.72648,351.647883125,-0.002622500000000004,0.11461175,0.0,"Acropora, Montipora, Pocillopora, Porites, Favia, Favites, Goniopora, Platygyra, Goniastrea, Leptastrea, Turbinaria, Coscinaraea, Dipsastraea, Symphyllia, Merulina, Oulophyllia, Pseudosiderastrea, Dendrophyllia, Lobophyllia, Echinopora, Gardineroseris, Stylophora, Astreopora, Seriatopora, Hydnophora, Leptoria, Cyphastrea, Pachyseris, Pavona, Psammocora, Fungia, Podobacia, Euphyllia, Galaxea, Alveopora, Caryophyllia, Siderastrea, Gardineroseris, Dipsastraea, Isopora, Heliopora, Diploastrea, Pavona clavus, Podabacia, Gardineroseris planulata, Pachyseris rugosa, Mycedium, Oulastrea crispata, Coeloseris mayeri, Leptoseris, Pectinia, Diploastrea heliopora, Echinophyllia, Cantharellus"
2005,8,Gulf of Kachchh,26.07,28.33,27.470967741935485,-0.21787096774193546,0.9329,36.533634,8.041571,416.53445,415.2416,-0.002622500000000004,0.11461175,0.0,"Montipora, Coscinaria, Hydnophora, Turbinaria, Goniastrea, Platygyra, Cyphastrea, Porites, Goniopora, Siderastrea, Acanthastrea, Favia, Favites, Leptastrea, Pseudosiderastrea, Symphyllia, Merulina, Oulophyllia, Pachyseris, Echinopora"
2005,8,Gulf of Mannar,24.73,30.17,28.990322580645163,0.7222806451612903,0.0,34.69688,8.048315,394.83646,393.60455,-0.002622500000000004,0.11461175,0.0,"Montipora, Acropora, Pocillopora, Porites, Favites, Favia, Goniopora, Platygyra, Goniastrea, Leptastrea, Turbinaria, Pseudosiderastrea, Symphyllia, Merulina, Oulophyllia, Dipsastraea, Echinopora, Lobophyllia, Gardineroseris, Stylophora, Astreopora, Seriatopora, Hydnophora, Leptoria, Cyphastrea, Pachyseris, Dendrophyllia"
2005,8,Lakshadweep,26.38,28.84,28.30548387096774,0.5596387096774194,0.0,35.588801875,8.072713,374.9086575,373.74599458333336,-0.002622500000000004,0.11461175,0.0,"Acropora, Pocillopora, Euphyllia, Galaxea, Psammocora, Pavona, Fungia, Podobacia, Hydnophora, Favites, Goniastrea, Platygyra, Leptastrea, Porites, Alveopora, Montipora, Acanthastrea, Dipsastraea, Coscinaraea, Symphyllia, Dendrophyllia, Oulophyllia, Lobophyllia, Echinopora, Plesiastrea, Gardineroseris, Stylophora, Astreopora, Seriatopora, Merulina, Pachyseris, Leptoria, Cyphastrea"
2005,9,Andaman & Nicobar Islands,27.79,29.95,28.980999999999998,0.7086633333333334,0.0,32.831427375000004,8.0787765625,351.423609375,350.346738125,-0.687561,-0.0048136666666666675,0.0,"Acropora, Montipora, Pocillopora, Porites, Favia, Favites, Goniopora, Platygyra, Goniastrea, Leptastrea, Turbinaria, Coscinaraea, Dipsastraea, Symphyllia, Merulina, Oulophyllia, Pseudosiderastrea, Dendrophyllia, Lobophyllia, Echinopora, Gardineroseris, Stylophora, Astreopora, Seriatopora, Hydnophora, Leptoria, Cyphastrea, Pachyseris, Pavona, Psammocora, Fungia, Podobacia, Euphyllia, Galaxea, Alveopora, Caryophyllia, Siderastrea, Gardineroseris, Dipsastraea, Isopora, Heliopora, Diploastrea, Pavona clavus, Podabacia, Gardineroseris planulata, Pachyseris rugosa, Mycedium, Oulastrea crispata, Coeloseris mayeri, Leptoseris, Pectinia, Diploastrea heliopora, Echinophyllia, Cantharellus"
2005,9,Gulf of Kachchh,26.37,28.97,28.08833333333333,0.17755666666666667,0.9329,36.492813,8.028081,431.0275,429.68573,-0.687561,-0.0048136666666666675,0.0,"Montipora, Coscinaria, Hydnophora, Turbinaria, Goniastrea, Platygyra, Cyphastrea, Porites, Goniopora, Siderastrea, Acanthastrea, Favia, Favites, Leptastrea, Pseudosiderastrea, Symphyllia, Merulina, Oulophyllia, Pachyseris, Echinopora"
2005,9,Gulf of Mannar,25.43,29.92,28.872333333333334,0.3757433333333333,0.0,34.69876,8.061179,379.86267,378.69403,-0.687561,-0.0048136666666666675,0.0,"Montipora, Acropora, Pocillopora, Porites, Favites, Favia, Goniopora, Platygyra, Goniastrea, Leptastrea, Turbinaria, Pseudosiderastrea, Symphyllia, Merulina, Oulophyllia, Dipsastraea, Echinopora, Lobophyllia, Gardineroseris, Stylophora, Astreopora, Seriatopora, Hydnophora, Leptoria, Cyphastrea, Pachyseris, Dendrophyllia"
2005,9,Lakshadweep,26.2,28.94,28.201,0.23317,0.0,35.62697645833333,8.072115229166666,375.4520608333333,374.3054425,-0.687561,-0.0048136666666666675,0.0,"Acropora, Pocillopora, Euphyllia, Galaxea, Psammocora, Pavona, Fungia, Podobacia, Hydnophora, Favites, Goniastrea, Platygyra, Leptastrea, Porites, Alveopora, Montipora, Acanthastrea, Dipsastraea, Coscinaraea, Symphyllia, Dendrophyllia, Oulophyllia, Lobophyllia, Echinopora, Plesiastrea, Gardineroseris, Stylophora, Astreopora, Seriatopora, Merulina, Pachyseris, Leptoria, Cyphastrea"
